Time,Channel A,Channel B
(s),(mV),(V)

1069.86672246,17.83665000,-0.02197534
1070.00005580,17.38493000,0.00976682
1070.13338915,16.79893000,0.00000000
1070.26672249,17.73288000,0.00000000
1070.40005583,17.52533000,0.00000000
1070.53338917,16.79893000,0.00976682
1070.66672251,17.80002000,0.00000000
1070.80005585,17.56196000,-0.02197534
1070.93338919,16.86607000,0.00000000
1071.06672253,17.76340000,-0.01220852
1071.20005587,17.35441000,0.00000000
1071.33338921,16.66463000,0.00976682
1071.46672255,17.90380000,-0.02197534
1071.60005589,17.35441000,0.01953363
1071.73338923,16.83555000,-0.02197534
1071.86672257,17.80002000,-0.01220852
1072.00005591,17.35441000,-0.01220852
1072.13338925,16.86607000,0.00976682
1072.26672259,17.86717000,0.00000000
1072.40005593,17.28116000,-0.03174216
1072.53338927,17.04310000,-0.03174216
1072.66672261,17.76340000,0.00976682
1072.80005595,17.31779000,0.00976682
1072.93338929,16.90270000,0.00000000
1073.06672263,17.83665000,-0.01220852
1073.20005597,17.28116000,-0.03174216
1073.33338931,16.93932000,0.00000000
1073.46672265,17.97094000,-0.01220852
1073.60005599,17.14687000,0.00976682
1073.73338933,16.93932000,0.00000000
1073.86672267,18.04420000,0.00000000
1074.00005601,17.25064000,-0.01220852
1074.13338935,16.86607000,0.00000000
1074.26672269,18.07472000,0.00976682
1074.40005603,17.17739000,0.00000000
1074.53338937,17.04310000,0.01953363
1074.66672271,17.97094000,-0.02197534
1074.80005606,17.28116000,0.00976682
1074.93338940,16.93932000,-0.01220852
1075.06672274,18.11134000,0.00000000
1075.20005608,17.25064000,-0.01220852
1075.33338942,17.04310000,0.00000000
1075.46672276,17.94042000,-0.01220852
1075.60005610,17.25064000,0.00000000
1075.73338944,17.07362000,0.01953363
1075.86672278,17.94042000,0.00976682
1076.00005612,17.14687000,0.00000000
1076.13338946,17.04310000,0.00000000
1076.26672280,17.97094000,-0.01220852
1076.40005614,17.11024000,0.00000000
1076.53338948,16.93932000,0.01953363
1076.66672282,17.94042000,0.00000000
1076.80005616,17.04310000,-0.01220852
1076.93338950,17.00647000,0.00000000
1077.06672284,17.94042000,0.00976682
1077.20005618,17.14687000,0.01953363
1077.33338952,17.11024000,-0.01220852
1077.46672286,18.04420000,-0.01220852
1077.60005620,17.00647000,0.00000000
1077.73338954,17.11024000,0.00000000
1077.86672288,18.04420000,-0.02197534
1078.00005622,17.04310000,0.00000000
1078.13338956,17.21402000,0.00000000
1078.26672290,18.07472000,0.00976682
1078.40005624,17.11024000,0.00000000
1078.53338958,17.14687000,-0.01220852
1078.66672292,17.97094000,0.00976682
1078.80005626,17.07362000,0.01953363
1078.93338960,17.28116000,-0.01220852
1079.06672294,17.97094000,-0.01220852
1079.20005628,17.07362000,0.00000000
1079.33338962,17.28116000,0.00976682
1079.46672297,17.80002000,0.00000000
1079.60005631,17.04310000,0.00000000
